DATE(UTC), TIME(UTC), BMPTEMP(C), BMPP(hPa), BMPALT(M), DHTT(C), DHTH(%)
23/04/2015,17:31:25,45.5,631,3817.213778,-0.899999976,58.29999924
23/04/2015,17:32:03,45.2,619,3967.511337,-1.200000048,57.90000153
23/04/2015,17:32:08,45.1,617,3989.124631,-2.400000095,56.70000076
23/04/2015,17:32:25,45,611,4064.284244,-2.5,56.5
23/04/2015,17:32:30,45,609,4090.015263,-2.900000095,56
23/04/2015,17:32:46,44.8,602,4172.828377,-2.599999905,54.29999924
23/04/2015,17:32:55,44.7,599,4211.198258,-2.799999952,54
23/04/2015,17:33:11,44.6,593,4287.896375,-2.900000095,53.59999847
23/04/2015,17:33:16,44.5,591,4317.978826,-3.799999952,52.59999847
23/04/2015,17:33:33,44.4,584,4403.868969,-4.900000095,51.79999924
23/04/2015,17:33:41,44.3,581,4451.027772,-4.900000095,51.90000153
23/04/2015,17:34:05,44,571,4576.45765,-5.099999905,52
23/04/2015,17:34:10,43.9,569,4609.60726,-5.900000095,45.70000076
23/04/2015,17:34:29,43.7,562,4700.240479,-5.900000095,45.29999924
23/04/2015,17:34:35,43.7,559,4731.27652,-5.199999809,42.29999924
23/04/2015,17:34:51,43.5,553,4819.167121,-5.099999905,41.29999924
23/04/2015,17:35:10,43.3,546,4907.623226,-6.699999809,38.5
23/04/2015,17:35:26,43.1,541,4977.701946,-6.699999809,37.40000153
23/04/2015,17:35:32,43.1,540,5000.117789,-7,36.70000076
23/04/2015,17:35:48,43,534,5075.930857,-7.199999809,35.20000076
23/04/2015,17:35:56,42.9,531,5117.930138,-7.199999809,34.90000153
23/04/2015,17:36:20,42.7,523,5237.268105,-8,34.40000153
23/04/2015,17:36:26,42.6,521,5266.027096,-10.39999962,35
23/04/2015,17:36:42,42.5,515,5345.078791,-11.30000019,37.09999847
23/04/2015,17:36:53,42.4,512,5398.595314,-11.5,37.09999847
23/04/2015,17:37:09,42.2,506,5470.635592,-11.89999962,37.29999924
23/04/2015,17:37:14,42.2,505,5491.657344,-12.39999962,36.5
23/04/2015,17:37:31,42.1,501,5553.690311,-12.60000038,36.20000076
23/04/2015,17:37:36,42,500,5574.90459,-12.19999981,36.20000076
23/04/2015,17:37:52,41.9,495,5646.423953,-12.89999962,36.20000076
23/04/2015,17:37:58,41.9,493,5671.581734,-13,36.79999924
